English,Polish,Difficulty
Absenteeism,Absencja / Nieobecność w pracy,2
Attrition,Naturalny ubytek pracowników,3
Benchmarking,Analiza porównawcza,3
Board of Directors,Rada Nadzorcza,2
Branding,Budowanie marki (pracodawcy),2
Budgeting,Budżetowanie,2
Core values,Kluczowe wartości,2
Corporate culture,Kultura organizacyjna,2
CSR (Corporate Social Responsibility),Społeczna odpowiedzialność biznesu,3
Downsizing,Redukcja zatrudnienia,2
Engagement,Zaangażowanie,2
Headcount,Liczba pracowników / Stan zatrudnienia,2
HR Business Partner,Partner biznesowy HR,2
Human Capital,Kapitał ludzki,2
Manpower,Siła robocza,2
Merger,Fuzja,2
Mission statement,Misja firmy,2
Organigram,Schemat organizacyjny,3
Outsourcing,Zlecanie usług na zewnątrz,2
Policy,Polityka / Zasady,1
Procedure,Procedura,1
Restructuring,Restrukturyzacja,2
Stakeholder,Interesariusz,3
Strategy,Strategia,1
Succession planning,Planowanie sukcesji,3
Sustainability,Zrównoważony rozwój,2
Vision,Wizja,1
Workforce,Siła robocza / Kadra,2
Workforce planning,Planowanie zasobów ludzkich,3
Offshoring,Przeniesienie produkcji za granicę,3
Arbitration,Arbitraż,3
Bargaining,Negocjacje,2
Collective agreement,Układ zbiorowy pracy,3
Compliance,Zgodność z przepisami,3
Disciplinary action,Postępowanie dyscyplinarne,2
Discrimination,Dyskryminacja,2
Dispute,Spór,2
Equal pay,Równa płaca,2
Grievance,Skarga pracownicza,3
Industrial relations,Stosunki przemysłowe,3
Labor court,Sąd pracy,2
Labor union,Związek zawodowy,2
Lawsuit,Pozew sądowy,2
Legislation,Ustawodawstwo,3
Liability,Odpowiedzialność prawna,3
Litigation,Spór sądowy,3
Mediation,Mediacja,2
Misconduct,Przewinienie / Niewłaściwe zachowanie,2
Negligence,Zaniedbanie,3
Ombudsman,Rzecznik praw,3
Penalty,Kara,1
Regulation,Przepis / Regulacja,2
Settlement,Ugoda,2
Strike,Strajk,1
Tribunal,Trybunał / Sąd,3
Unfair dismissal,Nieuzasadnione zwolnienie,2
Violation,Naruszenie,2
Warning letter,Upomnienie pisemne,1
Works council,Rada zakładowa,3
Code of conduct,Kodeks postępowania,2
Adaptability,Umiejętność adaptacji,2
Ambition,Ambicja,1
Assertiveness,Asertywność,2
Collaboration,Współpraca,2
Communication skills,Umiejętności komunikacyjne,1
Conflict resolution,Rozwiązywanie konfliktów,2
Creativity,Kreatywność,1
Critical thinking,Myślenie krytyczne,2
Dedication,Poświęcenie / Oddanie,2
Dependability,Niezawodność,2
Diligence,Pilność / Pracowitość,3
Empathy,Empatia,1
Flexibility,Elastyczność,1
Initiative,Inicjatywa,2
Integrity,Uczciwość / Integralność,3
Leadership,Przywództwo,1
Motivation,Motywacja,1
Negotiation,Negocjacje,2
Organization,Organizacja,1
Patience,Cierpliwość,1
Problem-solving,Rozwiązywanie problemów,2
Punctuality,Punktualność,1
Reliability,Solidność,2
Resilience,Odporność psychiczna,3
Responsibility,Odpowiedzialność,1
Self-discipline,Samodyscyplina,2
Teamwork,Praca zespołowa,1
Time management,Zarządzanie czasem,2
Transparency,Przejrzystość,2
Versatility,Wszechstronność,3
Agenda,Plan spotkania,2
Archive,Archiwum,1
Assets,Aktywa / Mienie,2
Authorization,Autoryzacja / Upoważnienie,2
Backlog,Zaległości,3
Briefing,Odprawa,2
Deadline,Termin ostateczny,1
Delegate,Delegować,2
Document,Dokument,1
Draft,Projekt / Szkic,2
Efficiency,Wydajność / Efektywność,2
Expenditure,Wydatki,3
Facilitate,Ułatwiać / Prowadzić (spotkanie),3
File,Plik / Kartoteka,1
Forecast,Prognoza,2
Implement,Wdrożyć,2
Inventory,Inwentarz,2
Invoice,Faktura,1
Logistics,Logistyka,2
Maintenance,Konserwacja / Utrzymanie,2
Memo,Notatka służbowa,2
Minutes,Protokół ze spotkania,3
Objective,Cel,2
Overhead,Koszty ogólne,3
Quarter,Kwartał,1
Record,Zapis / Rejestr,1
Report,Raport,1
Schedule,Harmonogram,1
Signature,Podpis,1
Target,Cel / Target,1
Active,Aktywny,1
Administrator,Administrator,1
Automation,Automatyzacja,2
Cloud-based,W chmurze,2
Dashboard,Panel sterowania / Kokpit,2
Database,Baza danych,2
Digitalization,Cyfryzacja,2
Disabled,Zablokowany / Niepełnosprawny,1
Eligible,Uprawniony,2
Encrypted,Zaszyfrowany,3
Exempt,Zwolniony (np. z podatku),3
Inactive,Nieaktywny,1
Interface,Interfejs,2
Login,Login,1
Non-exempt,Niezwolniony,3
Offline,Offline,1
Online,Online,1
Pending,Oczekujący,2
Platform,Platforma,1
Portal,Portal,1
Profile,Profil,1
Rejected,Odrzucony,1
Software,Oprogramowanie,1
Submitted,Przesłany,1
System,System,1
User,Użytkownik,1
Valid,Ważny,1
Verified,Zweryfikowany,1
Virtual,Wirtualny,1
Workflow,Przepływ pracy,2
